freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.516e+02,3.085e+01,8.298e+00,2.908e+02
1.7,3.271e+02,1.183e+02,3.588e+01,4.813e+02
3.4,3.474e+02,1.076e+02,4.569e+01,5.007e+02
5.1,9.825e+02,1.096e+02,4.376e+01,1.136e+03
6.8,2.118e+03,1.018e+02,4.140e+01,2.262e+03
8.5,3.126e+03,1.121e+02,3.944e+01,3.277e+03
10.2,4.396e+03,1.281e+02,3.983e+01,4.564e+03
11.9,6.012e+03,1.514e+02,4.344e+01,6.206e+03
13.6,7.085e+03,1.461e+02,4.700e+01,7.278e+03
15.4,8.632e+03,1.223e+02,4.127e+01,8.796e+03
17.1,1.075e+04,1.205e+02,3.933e+01,1.091e+04
18.8,1.291e+04,1.087e+02,3.978e+01,1.306e+04
20.5,1.521e+04,1.269e+02,4.144e+01,1.538e+04
22.2,1.767e+04,1.358e+02,4.321e+01,1.785e+04
23.9,2.106e+04,1.507e+02,4.354e+01,2.125e+04
25.6,2.559e+04,1.721e+02,4.331e+01,2.580e+04
27.3,3.027e+04,2.148e+02,4.805e+01,3.054e+04
29.0,3.388e+04,2.333e+02,5.515e+01,3.417e+04
30.7,3.590e+04,2.658e+02,5.231e+01,3.622e+04
32.4,2.993e+04,2.283e+02,4.609e+01,3.020e+04
34.1,2.502e+04,2.914e+02,6.054e+01,2.537e+04
35.8,2.748e+04,5.045e+02,7.218e+01,2.806e+04
37.5,2.975e+04,5.027e+02,7.795e+01,3.033e+04
39.2,3.273e+04,3.608e+02,8.599e+01,3.318e+04
40.9,3.798e+04,2.531e+02,8.246e+01,3.832e+04
42.6,4.449e+04,1.548e+02,6.445e+01,4.470e+04
44.3,5.237e+04,1.117e+02,5.169e+01,5.253e+04
46.1,6.757e+04,1.584e+02,5.566e+01,6.778e+04
47.8,8.728e+04,2.910e+02,9.409e+01,8.766e+04
49.5,7.320e+04,4.739e+02,1.276e+02,7.380e+04
51.2,3.719e+04,6.683e+02,1.131e+02,3.797e+04
52.9,3.177e+04,8.583e+02,9.719e+01,3.272e+04
54.6,4.138e+04,1.154e+03,1.114e+02,4.264e+04
56.3,5.156e+04,1.740e+03,1.661e+02,5.347e+04
58.0,5.981e+04,2.856e+03,3.106e+02,6.298e+04
59.7,7.086e+04,6.052e+03,6.906e+02,7.761e+04
61.4,8.396e+04,1.535e+04,1.816e+03,1.011e+05
63.1,9.683e+04,4.076e+04,5.264e+03,1.429e+05
64.8,1.066e+05,7.461e+04,1.019e+04,1.914e+05
66.5,1.175e+05,8.631e+04,1.216e+04,2.159e+05
68.2,1.259e+05,7.558e+04,1.085e+04,2.123e+05
69.9,1.475e+05,6.073e+04,8.951e+03,2.172e+05
71.6,1.824e+05,5.579e+04,8.173e+03,2.464e+05
73.3,2.391e+05,5.540e+04,7.800e+03,3.023e+05
75.1,3.230e+05,4.170e+04,5.897e+03,3.706e+05
76.8,4.262e+05,2.757e+04,3.860e+03,4.576e+05
78.5,5.382e+05,1.892e+04,2.431e+03,5.596e+05
80.2,5.974e+05,1.712e+04,1.519e+03,6.161e+05
81.9,5.186e+05,1.706e+04,9.801e+02,5.367e+05
83.6,4.648e+05,1.865e+04,7.286e+02,4.842e+05
85.3,3.550e+05,1.768e+04,5.450e+02,3.732e+05
87.0,1.992e+05,1.463e+04,4.437e+02,2.143e+05
88.7,1.073e+05,1.081e+04,4.083e+02,1.186e+05
90.4,5.139e+04,8.205e+03,3.313e+02,5.993e+04
92.1,3.049e+04,6.935e+03,2.660e+02,3.769e+04
93.8,4.745e+04,5.943e+03,2.102e+02,5.360e+04
95.5,8.915e+04,4.822e+03,1.116e+02,9.409e+04
97.2,1.558e+05,6.388e+03,5.593e+01,1.623e+05
98.9,2.400e+05,1.283e+04,5.878e+01,2.529e+05
100.6,3.216e+05,2.236e+04,6.423e+01,3.440e+05
102.3,3.580e+05,2.890e+04,1.229e+02,3.871e+05
104.0,3.259e+05,3.004e+04,2.720e+02,3.562e+05
105.8,2.682e+05,2.813e+04,4.058e+02,2.967e+05
107.5,2.572e+05,2.938e+04,5.837e+02,2.871e+05
109.2,2.592e+05,3.038e+04,7.663e+02,2.904e+05
110.9,2.620e+05,2.963e+04,8.486e+02,2.925e+05
112.6,2.727e+05,2.828e+04,8.212e+02,3.018e+05
114.3,2.729e+05,2.341e+04,6.518e+02,2.969e+05
116.0,2.644e+05,1.632e+04,4.919e+02,2.812e+05
117.7,2.622e+05,1.036e+04,3.863e+02,2.730e+05
119.4,2.745e+05,6.327e+03,3.210e+02,2.812e+05
121.1,3.033e+05,4.030e+03,2.680e+02,3.076e+05
122.8,3.420e+05,2.915e+03,2.285e+02,3.451e+05
124.5,3.981e+05,1.708e+03,1.963e+02,4.000e+05
126.2,4.784e+05,1.002e+03,1.909e+02,4.796e+05
127.9,5.696e+05,1.609e+03,1.930e+02,5.714e+05
129.6,6.950e+05,3.622e+03,2.125e+02,6.988e+05
131.3,8.255e+05,5.524e+03,2.478e+02,8.313e+05
133.0,4.681e+05,3.461e+03,1.712e+02,4.717e+05
134.8,5.972e+04,7.549e+02,6.699e+01,6.054e+04
136.5,3.627e+04,6.146e+02,5.760e+01,3.694e+04
138.2,4.393e+04,7.440e+02,5.731e+01,4.473e+04
139.9,5.225e+04,8.526e+02,5.546e+01,5.315e+04
141.6,6.502e+04,9.019e+02,6.159e+01,6.598e+04
143.3,8.137e+04,9.069e+02,7.186e+01,8.235e+04
145.0,9.586e+04,9.292e+02,8.440e+01,9.687e+04
146.7,1.119e+05,1.138e+03,1.051e+02,1.132e+05
148.4,1.433e+05,1.759e+03,1.403e+02,1.452e+05
150.1,1.949e+05,2.494e+03,1.739e+02,1.976e+05
151.8,2.007e+05,3.105e+03,1.667e+02,2.040e+05
153.5,1.852e+05,2.952e+03,1.296e+02,1.883e+05
155.2,1.732e+05,2.889e+03,1.101e+02,1.762e+05
156.9,1.606e+05,2.981e+03,9.409e+01,1.637e+05
158.6,1.479e+05,3.402e+03,8.928e+01,1.513e+05
160.3,1.321e+05,2.794e+03,6.837e+01,1.350e+05
162.0,1.160e+05,2.715e+03,7.292e+01,1.188e+05
163.7,1.052e+05,3.177e+03,1.337e+02,1.085e+05
165.5,9.495e+04,2.463e+03,1.424e+02,9.755e+04
167.2,8.343e+04,1.217e+03,7.336e+01,8.472e+04
168.9,8.455e+04,1.125e+03,9.358e+01,8.577e+04
170.6,1.022e+05,1.646e+03,1.306e+02,1.039e+05
172.3,1.452e+05,2.390e+03,1.668e+02,1.477e+05
174.0,1.544e+05,3.515e+03,1.802e+02,1.581e+05
175.7,1.346e+05,5.742e+03,2.053e+02,1.405e+05
177.4,1.160e+05,7.157e+03,2.262e+02,1.234e+05
179.1,9.725e+04,3.369e+03,1.458e+02,1.008e+05
180.8,8.539e+04,1.649e+03,8.762e+01,8.712e+04
182.5,7.550e+04,1.798e+03,7.108e+01,7.737e+04
184.2,6.541e+04,1.827e+03,5.806e+01,6.730e+04
185.9,5.691e+04,1.574e+03,5.197e+01,5.854e+04
187.6,5.298e+04,1.408e+03,5.913e+01,5.444e+04
189.3,5.015e+04,1.429e+03,6.703e+01,5.164e+04
191.0,4.735e+04,1.473e+03,8.295e+01,4.890e+04
192.7,4.411e+04,1.672e+03,8.989e+01,4.587e+04
194.5,4.221e+04,1.851e+03,9.713e+01,4.416e+04
196.2,3.886e+04,1.853e+03,1.116e+02,4.083e+04
197.9,3.528e+04,1.983e+03,1.468e+02,3.741e+04
199.6,3.647e+04,2.619e+03,2.583e+02,3.935e+04
