freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.654e+01,1.539e+03,3.988e+01,1.615e+03
1.7,1.147e+02,1.094e+03,5.123e+01,1.260e+03
3.4,1.342e+02,3.330e+02,4.180e+01,5.091e+02
5.1,1.445e+02,1.075e+03,4.246e+01,1.262e+03
6.8,1.203e+02,2.258e+03,4.082e+01,2.419e+03
8.5,1.242e+02,3.433e+03,4.066e+01,3.598e+03
10.2,1.803e+02,4.669e+03,4.315e+01,4.893e+03
11.9,2.105e+02,6.053e+03,4.615e+01,6.310e+03
13.6,2.323e+02,7.684e+03,4.418e+01,7.961e+03
15.4,1.931e+02,9.862e+03,4.720e+01,1.010e+04
17.1,1.867e+02,1.238e+04,4.919e+01,1.262e+04
18.8,1.337e+02,1.495e+04,4.905e+01,1.513e+04
20.5,1.345e+02,1.804e+04,4.668e+01,1.823e+04
22.2,1.585e+02,2.154e+04,5.142e+01,2.175e+04
23.9,1.515e+02,2.668e+04,6.427e+01,2.690e+04
25.6,2.014e+02,3.561e+04,8.875e+01,3.590e+04
27.3,3.822e+02,4.852e+04,1.402e+02,4.904e+04
29.0,5.442e+02,6.082e+04,1.631e+02,6.153e+04
30.7,6.411e+02,6.673e+04,1.455e+02,6.752e+04
32.4,5.481e+02,5.446e+04,1.057e+02,5.512e+04
34.1,4.404e+02,2.804e+04,6.137e+01,2.854e+04
35.8,3.419e+02,1.575e+04,4.862e+01,1.614e+04
37.5,2.489e+02,1.972e+04,5.654e+01,2.002e+04
39.2,2.579e+02,3.118e+04,8.664e+01,3.153e+04
40.9,2.644e+02,4.552e+04,1.755e+02,4.596e+04
42.6,2.186e+02,5.134e+04,2.963e+02,5.186e+04
44.4,2.087e+02,3.860e+04,3.584e+02,3.916e+04
46.1,2.204e+02,2.926e+04,4.093e+02,2.989e+04
47.8,2.532e+02,2.960e+04,5.449e+02,3.040e+04
49.5,5.594e+02,3.190e+04,7.330e+02,3.319e+04
51.2,8.985e+02,3.379e+04,1.049e+03,3.573e+04
52.9,9.101e+02,3.460e+04,1.738e+03,3.724e+04
54.6,9.183e+02,3.269e+04,3.112e+03,3.672e+04
56.3,1.047e+03,2.737e+04,5.703e+03,3.412e+04
58.0,1.299e+03,2.097e+04,1.074e+04,3.301e+04
59.7,1.750e+03,3.260e+04,2.368e+04,5.803e+04
61.4,2.463e+03,1.397e+05,5.062e+04,1.928e+05
63.1,3.099e+03,5.018e+05,9.506e+04,6.000e+05
64.8,3.136e+03,1.259e+06,1.480e+05,1.410e+06
66.5,2.331e+03,1.916e+06,1.546e+05,2.073e+06
68.2,2.032e+03,2.167e+06,1.234e+05,2.293e+06
69.9,2.837e+03,2.598e+06,1.083e+05,2.709e+06
71.6,5.001e+03,3.336e+06,1.081e+05,3.449e+06
73.3,9.525e+03,4.633e+06,1.207e+05,4.763e+06
75.1,1.758e+04,6.498e+06,1.357e+05,6.651e+06
76.8,2.912e+04,8.827e+06,1.449e+05,9.001e+06
78.5,4.139e+04,1.066e+07,1.435e+05,1.085e+07
80.2,4.641e+04,9.809e+06,1.140e+05,9.969e+06
81.9,3.539e+04,7.345e+06,7.565e+04,7.456e+06
83.6,2.811e+04,6.220e+06,5.592e+04,6.304e+06
85.3,3.013e+04,5.330e+06,4.286e+04,5.403e+06
87.0,4.204e+04,4.109e+06,3.013e+04,4.181e+06
88.7,4.124e+04,3.345e+06,2.285e+04,3.409e+06
90.4,2.784e+04,2.857e+06,1.779e+04,2.903e+06
92.1,2.191e+04,2.419e+06,1.363e+04,2.454e+06
93.8,1.787e+04,2.008e+06,1.008e+04,2.036e+06
95.5,1.429e+04,1.590e+06,7.253e+03,1.611e+06
97.2,1.296e+04,1.311e+06,5.419e+03,1.329e+06
